cod_carrera,carrera
CI-024,Acuicultura
LI-007,Administración de Empresas
CI-020,Alimentos
LI-003,Arqueología
LI-001,Auditoría y Control de Gestión
CI-011,Biología
BIBIMBM,Biología Marina
CI-013,Computación
LI-005,Diseño Gráfico
LI-002,Economía
ECEGE,Economía con Mención en Gestión Empresarial
CI-014,Electricidad
CI-015,Electrónica y Automatización
CI-008,Estadística
CI-012,Geología
CI-026,Ingeniería Agrícola y Biológica
INIAB,Ingeniería Agrícola y Biológica
CI-005,Ingeniería Civil
INCTICI,Ingeniería Civil
INICE,Ingeniería Comercial y Empresarial
INCTIMI,Ingeniería de Minas
INCTIPE,Ingeniería de Petróleo
INTEL,Ingeniería Electrónica y Telecomunicaciones
INIEA,Ingeniería en Acuicultura
INALL,Ingeniería en Alimentos
INACP,Ingeniería en Auditoría y Contaduría Pública Autorizada
INLYT,Ingeniería en Logística y Transporte
INTLM,Ingeniería en Telemática
CI-001,Ingeniería Industrial
INMEC,Ingeniería Mecánica
CI-023,Ingeniería Naval
INCMANA,Ingeniería Naval
CI-002,Ingeniería Química
LINUT,Licenciatura en Nutrición
LITUR,Licenciatura en Turismo
CI-009,Logistica y Transporte
CI-010,Matemática
CI-021,Materiales
CI-007,Mecánica
CI-022,Mecatrónica
CI-003,Minas
LI-008,Nutrición y Dietética
CI-025,Oceanografía
CI-004,Petróleos
LI-006,Producción para Medios de Comunicación
CI-017,Telecomunicaciones
CI-018,Telemática
LI-009,Turismo
LI-004,Diseño de Productos
